entity_a_id,entity_b_id,entity_a_name,entity_b_name,match_score,merge_accepted
firm_401103504,lobbyist_68725,KEITH JOHNSON,KENNETH JOHNSON,85.71,False
lobbyist_143156,lobbyist_71961,JOHN MARTIN,JOSH MARTIN,90.91,False
lobbyist_19132,lobbyist_79397,MICHAEL HERSON,MICHAEL HANSON,85.71,False
lobbyist_141667,lobbyist_79397,MICHAEL HEATON,MICHAEL HANSON,85.71,False
lobbyist_61537,lobbyist_68370,ELIZABETH MURRAY,ELIZABETH MORRA,90.32,False
lobbyist_62044,lobbyist_138387,TYLER STEPHENS,STEPHEN WEYLER,85.71,False
lobbyist_65518,lobbyist_73017,WILLIAM SMITH,WILL SMITH,86.96,False
lobbyist_79397,lobbyist_69637,MICHAEL HANSON,MICHAEL JOHNSON,89.66,False
lobbyist_63568,lobbyist_119334,JEFFREY SADOSKY,JEFFREY SANDS,85.71,False
firm_73715,lobbyist_107445,MS. REBECCA HALKIAS,REBECCA HALKIAS,88.24,False
lobbyist_57691,lobbyist_47301,JOHN WILLIAMS,WILLIAM JOHNSON,85.71,False
lobbyist_87379,lobbyist_46305,A.J. WOJCIAK,A. WOJCIAK,90.91,False
lobbyist_66648,lobbyist_86107,MICHAEL DROBAC,MICHAEL DIROMA,85.71,False
lobbyist_42972,lobbyist_68946,CHRISTOPHER JAVENS,CHRISTOPHER JONES,85.71,False
lobbyist_140222,lobbyist_86103,ANDREW LOCK,ANDREW ECK,85.71,False
lobbyist_52422,lobbyist_148873,JENNIFER BELL,JENNIFER BELAIR,85.71,False
lobbyist_107248,lobbyist_49779,ROBERT CRAMER,ROBERT CREAR,88.0,False
lobbyist_101293,lobbyist_59634,JENNIFER READ,JENNIFER ORTEGA,85.71,False
lobbyist_150034,lobbyist_69876,MATTHEW JENNINGS,MATTHEW DENNIS,86.67,False
lobbyist_22642,lobbyist_72648,JOSH RUBIN,JOSEPH RUBIN,90.91,False
lobbyist_48964,lobbyist_64579,ALEXANDER LURIE,ALEXANDER CURRIE,90.32,False
lobbyist_48303,lobbyist_142682,JAMES RYAN,JAMES MORAN,85.71,False
lobbyist_66235,lobbyist_69802,CHRISTOPHER SARLEY,CHRISTOPHER LEAHY,85.71,False
lobbyist_45807,lobbyist_69802,CHRISTOPHER DELACY,CHRISTOPHER LEAHY,85.71,False
lobbyist_124311,lobbyist_69802,CHRISTOPHER CORLEY,CHRISTOPHER LEAHY,85.71,False
firm_57533,lobbyist_51017,MR. KHALIL SALIBA,KHALIL SALIBA,86.67,False
firm_400677020,lobbyist_52828,MR. DOYCE BOESCH,DOYCE BOESCH,85.71,False
lobbyist_70608,lobbyist_56449,LAMAR SMITH,MARK SMITH,85.71,False
lobbyist_67679,lobbyist_144795,JEFFREY WIENER,JEFFREY WIEAND,85.71,False
lobbyist_53314,lobbyist_71558,WILLIAM MUELLER,WILLIAM MILLER,89.66,False
lobbyist_64143,lobbyist_63638,BRIAN HOWARD,HOWARD BERMAN,88.0,False
lobbyist_64574,lobbyist_100880,JEFFERY MORTIER,JEFFERY MORE,88.89,False
